"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"1","PER","South America","Peru","2020-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,0.002,NA,NA,NA,NA,NA,"people tested",0,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"2","PER","South America","Peru","2020-02-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"people tested",0,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"3","PER","South America","Peru","2020-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"people tested",0,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"4","PER","South America","Peru","2020-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"people tested",0,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"5","PER","South America","Peru","2020-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,0.003,NA,NA,NA,NA,NA,"people tested",0,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"6","PER","South America","Peru","2020-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"people tested",0,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"7","PER","South America","Peru","2020-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,0.005,NA,NA,NA,NA,NA,"people tested",11.11,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"8","PER","South America","Peru","2020-03-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,219,0.007,0.002,24,0.001,NA,NA,"people tested",13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"9","PER","South America","Peru","2020-03-07",1,1,NA,0,0,NA,0.03,0.03,NA,0,0,NA,31,250,0.008,0.001,26,0.001,NA,NA,"people tested",13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"10","PER","South America","Peru","2020-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,318,0.01,0.002,34,0.001,NA,NA,"people tested",13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"11","PER","South America","Peru","2020-03-09",7,6,NA,0,0,NA,0.212,0.182,NA,0,0,NA,28,346,0.01,0.001,36,0.001,NA,NA,"people tested",13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"12","PER","South America","Peru","2020-03-10",9,2,NA,0,0,NA,0.273,0.061,NA,0,0,NA,310,656,0.02,0.009,78,0.002,NA,NA,"people tested",13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"13","PER","South America","Peru","2020-03-11",11,2,NA,0,0,NA,0.334,0.061,NA,0,0,NA,NA,NA,NA,NA,102,0.003,NA,NA,"people tested",16.67,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"14","PER","South America","Peru","2020-03-12",17,6,NA,0,0,NA,0.516,0.182,NA,0,0,NA,NA,NA,NA,NA,126,0.004,NA,NA,"people tested",44.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"15","PER","South America","Peru","2020-03-13",22,5,3.143,0,0,0,0.667,0.152,0.095,0,0,0,NA,1232,0.037,NA,145,0.004,NA,NA,"people tested",44.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"16","PER","South America","Peru","2020-03-14",38,16,5.286,0,0,0,1.152,0.485,0.16,0,0,0,590,1822,0.055,0.018,225,0.007,NA,NA,"people tested",50,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"17","PER","South America","Peru","2020-03-15",43,5,6,0,0,0,1.304,0.152,0.182,0,0,0,493,2315,0.07,0.015,285,0.009,NA,NA,"people tested",74.07,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"18","PER","South America","Peru","2020-03-16",71,28,9.143,0,0,0,2.153,0.849,0.277,0,0,0,482,2797,0.085,0.015,350,0.011,NA,NA,"people tested",90.74,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"19","PER","South America","Peru","2020-03-17",86,15,11,0,0,0,2.608,0.455,0.334,0,0,0,278,3075,0.093,0.008,346,0.01,NA,NA,"people tested",90.74,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"20","PER","South America","Peru","2020-03-18",117,31,15.143,0,0,0,3.548,0.94,0.459,0,0,0,766,3841,0.116,0.023,428,0.013,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"21","PER","South America","Peru","2020-03-19",145,28,18.286,0,0,0,4.398,0.849,0.555,0,0,0,457,4298,0.13,0.014,465,0.014,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"22","PER","South America","Peru","2020-03-20",234,89,30.286,2,2,0.286,7.097,2.699,0.919,0.061,0.061,0.009,1911,6209,0.188,0.058,711,0.022,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"23","PER","South America","Peru","2020-03-21",263,29,32.143,3,1,0.429,7.977,0.88,0.975,0.091,0.03,0.013,-25,6184,0.188,-0.001,623,0.019,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"24","PER","South America","Peru","2020-03-22",318,55,39.286,5,2,0.714,9.645,1.668,1.191,0.152,0.061,0.022,480,6664,0.202,0.015,621,0.019,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"25","PER","South America","Peru","2020-03-23",363,45,41.714,5,0,0.714,11.009,1.365,1.265,0.152,0,0.022,349,7013,0.213,0.011,602,0.018,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"26","PER","South America","Peru","2020-03-24",395,32,44.143,5,0,0.714,11.98,0.971,1.339,0.152,0,0.022,1027,8040,0.244,0.031,709,0.022,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"27","PER","South America","Peru","2020-03-25",416,21,42.714,7,2,1,12.617,0.637,1.295,0.212,0.061,0.03,1179,9219,0.28,0.036,768,0.023,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"28","PER","South America","Peru","2020-03-26",558,142,59,8,1,1.143,16.924,4.307,1.789,0.243,0.03,0.035,846,10065,0.305,0.026,824,0.025,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"29","PER","South America","Peru","2020-03-27",580,22,49.429,9,1,1,17.591,0.667,1.499,0.273,0.03,0.03,831,10896,0.33,0.025,670,0.02,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"30","PER","South America","Peru","2020-03-28",635,55,53.143,11,2,1.143,19.259,1.668,1.612,0.334,0.061,0.035,1773,12669,0.384,0.054,926,0.028,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"31","PER","South America","Peru","2020-03-29",671,36,50.429,16,5,1.571,20.351,1.092,1.529,0.485,0.152,0.048,783,13452,0.408,0.024,970,0.029,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"32","PER","South America","Peru","2020-03-30",852,181,69.857,18,2,1.857,25.84,5.49,2.119,0.546,0.061,0.056,1011,14463,0.439,0.031,1064,0.032,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"33","PER","South America","Peru","2020-03-31",950,98,79.286,24,6,2.714,28.812,2.972,2.405,0.728,0.182,0.082,1124,15587,0.473,0.034,1078,0.033,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
"34","PER","South America","Peru","2020-04-01",1065,115,92.714,30,6,3.286,32.3,3.488,2.812,0.91,0.182,0.1,931,16518,0.501,0.028,1043,0.032,NA,NA,"people tested",94.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74
